Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-05-20T14:13:05Z,Yes,25-30,Female,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,NA,1
2021-05-20T14:13:25Z,Yes,25-30,Male,Health Education East of England,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, ICM ST3 post",No,Yes,Not confident,NA,2
2021-05-20T14:14:08Z,Yes,31-35,Male,Health Education West Midlands,Intensive Care Medicine Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poor instructions during the self assessment section (not clear that cv was needed to be uploaded or that points would be awarded for how easy it was to review the evidence and that these points would be more than most of the other sections),3
2021-05-20T14:14:34Z,Yes,31-35,Male,Health Education North East,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2021-05-20T14:14:40Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",2.5,Full-time,No,NA,NA,NA,"I did apply, why is this a required question!",Yes,No,No,"Further education, e.g. pursue a higher degree",Don't know,Yes,Not confident,NA,5
2021-05-20T14:15:56Z,Yes,31-35,Female,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I understand there are frustrations around this years recruitment, however many of us were treated badly at least year's August 2020 recruitment (being unsuccessful in getting posts which were given out based on unverified self assessment scores).  Last year's August recruitment did not gain the same attention that this year's did, arguably under much wore circumstances as we could not be interviewed.  I am glad the recruitment issues are coming to light but as someone who has done an extra year already based on last year's terrible circumstances I do feel let down by AAGBI and RCOA that this was not dealt with last August.",6
2021-05-20T14:16:17Z,Yes,25-30,Male,Health Education North East,Intensive Care Medicine Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, ICM ST3 post",Don't know,Yes,Not confident,Unclear about ability to take time out of ICM programme for ct3 top up year. Time pressure on achieving anaesthetics post for dual training,7
2021-05-20T14:17:16Z,Yes,25-30,Male,Northern Ireland Medical and Dental Training Agency,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
2021-05-20T14:17:32Z,Yes,25-30,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad, Career break, Permanently leaving the medical profession",Yes,Yes,Not confident,"I have always truly enjoyed and loved anaesthetics as a specialty, and would always highly recommend it to anyone thinking of applying at CT1 level. Now I'm not so sure- I feel really disillusioned by the way the application process has panned out, with the potential for 2 years out of a training programme and no guarantee of an ST4 job in 2023 as there will likely be another huge bottleneck at this point. Coupled with an exhausting and difficult 12+ months of covid, I feel undervalued and unappreciated. It's making me seriously consider dropping out of a specialty that I otherwise love.",9
2021-05-20T14:17:41Z,Yes,25-30,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,No,Yes,Not confident,"The creation of a sudden bottleneck in training has been extremely frustrating, not to mention wasteful of the resources that have been put into my, and others training so far. The application process, especially portfolio scoring, was opaque and arbitrary. The application process is unfairly weighted towards 'extracurricular activities' and does not reflect trainees ability at doing the actual job of anaesthesia, merely how well they can tick application boxes",10
